fonte: 11, destino: 86, peso: 1
fonte: 12, destino: 3, peso: 1
fonte: 24, destino: 15, peso: 1
fonte: 28, destino: 42, peso: 1
fonte: 32, destino: 90, peso: 1
fonte: 33, destino: 31, peso: 1
fonte: 38, destino: 53, peso: 1
fonte: 43, destino: 5, peso: 1
fonte: 52, destino: 30, peso: 1
fonte: 57, destino: 19, peso: 1
fonte: 58, destino: 70, peso: 1
fonte: 60, destino: 49, peso: 1
fonte: 60, destino: 91, peso: 1
fonte: 61, destino: 17, peso: 1
fonte: 63, destino: 16, peso: 1
fonte: 65, destino: 2, peso: 1
fonte: 65, destino: 78, peso: 1
fonte: 72, destino: 47, peso: 1
fonte: 79, destino: 21, peso: 1
fonte: 79, destino: 31, peso: 1
fonte: 87, destino: 75, peso: 1
fonte: 87, destino: 1, peso: 1
fonte: 89, destino: 21, peso: 1
fonte: 93, destino: 28, peso: 1
fonte: 95, destino: 61, peso: 1
fonte: 97, destino: 55, peso: 1
fonte: 100, destino: 50, peso: 1
fonte: 9, destino: 74, peso: 10
fonte: 15, destino: 51, peso: 10
fonte: 20, destino: 56, peso: 10
fonte: 21, destino: 67, peso: 10
fonte: 22, destino: 54, peso: 10
fonte: 22, destino: 12, peso: 10
fonte: 25, destino: 46, peso: 10
fonte: 32, destino: 98, peso: 10
fonte: 34, destino: 58, peso: 10
fonte: 37, destino: 40, peso: 10
fonte: 42, destino: 2, peso: 10
fonte: 45, destino: 37, peso: 10
fonte: 51, destino: 39, peso: 10
fonte: 54, destino: 34, peso: 10
fonte: 54, destino: 18, peso: 10
fonte: 57, destino: 56, peso: 10
fonte: 58, destino: 6, peso: 10
fonte: 59, destino: 74, peso: 10
fonte: 67, destino: 85, peso: 10
fonte: 70, destino: 100, peso: 10
fonte: 74, destino: 21, peso: 10
fonte: 82, destino: 2, peso: 10
fonte: 84, destino: 68, peso: 10
fonte: 85, destino: 16, peso: 10
fonte: 88, destino: 83, peso: 10
fonte: 90, destino: 45, peso: 10
fonte: 91, destino: 20, peso: 10
fonte: 91, destino: 58, peso: 10
fonte: 1, destino: 3, peso: 2
fonte: 10, destino: 94, peso: 2
fonte: 21, destino: 56, peso: 2
fonte: 25, destino: 32, peso: 2
fonte: 26, destino: 58, peso: 2
fonte: 33, destino: 98, peso: 2
fonte: 42, destino: 88, peso: 2
fonte: 47, destino: 48, peso: 2
fonte: 49, destino: 55, peso: 2
fonte: 51, destino: 21, peso: 2
fonte: 62, destino: 75, peso: 2
fonte: 69, destino: 11, peso: 2
fonte: 70, destino: 68, peso: 2
fonte: 72, destino: 97, peso: 2
fonte: 74, destino: 64, peso: 2
fonte: 76, destino: 42, peso: 2
fonte: 78, destino: 39, peso: 2
fonte: 92, destino: 61, peso: 2
fonte: 95, destino: 68, peso: 2
fonte: 3, destino: 43, peso: 3
fonte: 7, destino: 41, peso: 3
fonte: 14, destino: 61, peso: 3
fonte: 28, destino: 73, peso: 3
fonte: 35, destino: 21, peso: 3
fonte: 36, destino: 57, peso: 3
fonte: 44, destino: 75, peso: 3
fonte: 59, destino: 66, peso: 3
fonte: 83, destino: 86, peso: 3
fonte: 84, destino: 71, peso: 3
fonte: 4, destino: 37, peso: 4
fonte: 5, destino: 77, peso: 4
fonte: 6, destino: 23, peso: 4
fonte: 8, destino: 96, peso: 4
fonte: 13, destino: 96, peso: 4
fonte: 30, destino: 17, peso: 4
fonte: 34, destino: 10, peso: 4
fonte: 41, destino: 10, peso: 4
fonte: 53, destino: 56, peso: 4
fonte: 56, destino: 8, peso: 4
fonte: 81, destino: 43, peso: 4
fonte: 18, destino: 27, peso: 5
fonte: 99, destino: 54, peso: 5
fonte: 29, destino: 83, peso: 6
fonte: 80, destino: 29, peso: 7
